State FIPS Code,Postal Code,State Name,Region,Division
01,AL,Alabama,South,East South Central
02,AK,Alaska,West,Pacific
04,AZ,Arizona,West,Mountain
05,AR,Arkansas,South,West South Central
06,CA,California,West,Pacific
08,CO,Colorado,West,Mountain
09,CT,Connecticut,Northeast,New England
10,DE,Delaware,South,South Atlantic
11,DC,District of Columbia,South,South Atlantic
12,FL,Florida,South,South Atlantic
13,GA,Georgia,South,South Atlantic
15,HI,Hawaii,West,Pacific
16,ID,Idaho,West,Mountain
17,IL,Illinois,Midwest,East North Central
18,IN,Indiana,Midwest,East North Central
19,IA,Iowa,Midwest,West North Central
20,KS,Kansas,Midwest,West North Central
21,KY,Kentucky,South,East South Central
22,LA,Louisiana,South,West South Central
23,ME,Maine,Northeast,New England
24,MD,Maryland,South,South Atlantic
25,MA,Massachusetts,Northeast,New England
26,MI,Michigan,Midwest,East North Central
27,MN,Minnesota,Midwest,West North Central
28,MS,Mississippi,South,East South Central
29,MO,Missouri,Midwest,West North Central
30,MT,Montana,West,Mountain
31,NE,Nebraska,Midwest,West North Central
32,NV,Nevada,West,Mountain
33,NH,New Hampshire,Northeast,New England
34,NJ,New Jersey,Northeast,Middle Atlantic
35,NM,New Mexico,West,Mountain
36,NY,New York,Northeast,Middle Atlantic
37,NC,North Carolina,South,South Atlantic
38,ND,North Dakota,Midwest,West North Central
39,OH,Ohio,Midwest,East North Central
40,OK,Oklahoma,South,West South Central
41,OR,Oregon,West,Pacific
42,PA,Pennsylvania,Northeast,Middle Atlantic
44,RI,Rhode Island,Northeast,New England
45,SC,South Carolina,South,South Atlantic
46,SD,South Dakota,Midwest,West North Central
47,TN,Tennessee,South,East South Central
48,TX,Texas,South,West South Central
49,UT,Utah,West,Mountain
50,VT,Vermont,Northeast,New England
51,VA,Virginia,South,South Atlantic
53,WA,Washington,West,Pacific
54,WV,West Virginia,South,South Atlantic
55,WI,Wisconsin,Midwest,East North Central
56,WY,Wyoming,West,Mountain
